Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2,Price_Clean,Lot_Size,Living_Space,Build_Year,Total_Rooms,Bedrooms,Number_of_Floors
Bovenweg 223,Sint Pancras,€ 525.000,251 m²,135 m²,1972,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,,"Achtertuin, voortuin en zijtuin",6.035,525000.0,251,135,1972.0,5.0,4.0,3.0
Julianastraat 19,Waddinxveen,€ 425.000,181 m²,109 m²,1935,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.435,425000.0,181,109,1935.0,4.0,3.0,3.0
Kuipersgilde 3,Houten,€ 575.000,198 m²,138 m²,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,1.855,575000.0,198,138,1986.0,5.0,4.0,3.0
De Kamp 1 A,Pannerden,€ 259.500,231 m²,92 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.190,259500.0,231,92,1989.0,5.0,3.0,3.0
Wildrijklaan 8,Sassenheim,€ 1.050.000,423 m²,210 m²,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,4 woonlagen en een kelder,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.340,1050000.0,423,210,2000.0,6.0,5.0,4.0
Tol 4,Oudewater,€ 445.000,127 m²,126 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.745,445000.0,127,126,2016.0,5.0,4.0,3.0
Furkabaan 698,Utrecht,€ 425.000,170 m²,87 m²,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,7.080,425000.0,170,87,1984.0,5.0,3.0,2.0
Abeelstraat 71,Dordrecht,€ 825.000,413 m²,232 m²,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,5.090,825000.0,413,232,1974.0,7.0,6.0,3.0
Overegge 8,Zuidveen,€ 249.500,235 m²,124 m²,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, beschutte ligging en in centrum",Voortuin en zijtuin,580,249500.0,235,124,1920.0,5.0,4.0,2.0
Gaasterland 59,Amstelveen,€ 550.000,137 m²,111 m²,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040,550000.0,137,111,1992.0,4.0,3.0,3.0
Oostopgaande 53,Nieuwlande,€ 859.000,5.440 m²,300 m²,2017,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (7 slaapkamers),3 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,60,859000.0,5440,300,2017.0,9.0,7.0,3.0
Ghijseland 198,Rhoon,€ 389.000,290 m²,108 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.310,389000.0,290,108,1973.0,5.0,4.0,3.0
Diedenweg 10 A,Ede,€ 349.000,281 m²,80 m²,,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In woonwijk,"Achtertuin, voortuin en zijtuin",,349000.0,281,80,,3.0,2.0,2.0
Klaverbeemd 4,Terheijden,€ 399.000,219 m²,129 m²,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,,399000.0,219,129,1976.0,5.0,4.0,3.0
Burgemeester Schoutenstraat 13,Schaijk,€ 495.000,371 m²,141 m²,1988,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",6.220,495000.0,371,141,1988.0,3.0,2.0,2.0
Bouwhuisweg 10,Nieuwleusen,€ 560.000,2.510 m²,129 m²,1967,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen,E,"Aan rustige weg, beschutte ligging, buiten bebouwde kom, in woonwijk, landelijk gelegen en vrij uitzicht",Tuin rondom,1.440,560000.0,2510,129,1967.0,4.0,3.0,2.0
Kerkstraat 20,Linden,€ 425.000,560 m²,99 m²,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Vrij uitzicht,Achtertuin,220,425000.0,560,99,1965.0,5.0,4.0,2.0
Kanariehof 25,Ermelo,€ 415.000,191 m²,131 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,6.160,415000.0,191,131,1974.0,5.0,4.0,3.0
Vlasven 33,Veghel,€ 310.000,82 m²,80 m²,2012,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.045,310000.0,82,80,2012.0,4.0,2.0,3.0
Mozartdreef 24,Veenendaal,€ 525.000,280 m²,131 m²,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.590,525000.0,280,131,1990.0,4.0,3.0,3.0
Waardenborchstraat 28,Holten,€ 289.000,333 m²,89 m²,1963,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,Tuin rondom,2.850,289000.0,333,89,1963.0,5.0,3.0,2.0
Schrijvershoeve 22,Helmond,€ 385.000,140 m²,119 m²,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.035,385000.0,140,119,2017.0,5.0,4.0,3.0
Vinkenbaan 5,Gilze,€ 325.000,134 m²,106 m²,2009,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.286,325000.0,134,106,2009.0,4.0,3.0,2.0
Sierra Nevada 70,Assendelft,€ 485.000,130 m²,126 m²,2008,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.455,485000.0,130,126,2008.0,5.0,4.0,3.0
Culenhof 48,Nuenen,€ 335.000,135 m²,91 m²,2009,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning (kwadrant woning)",Lessenaardak bedekt met metaal,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,825,335000.0,135,91,2009.0,5.0,3.0,3.0
Gentiaanstraat 84,Apeldoorn,€ 315.000,153 m²,135 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.075,315000.0,153,135,1971.0,5.0,4.0,3.0
Bovenste Boord 17,Linne,€ 675.000,1.146 m²,233 m²,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg,Tuin rondom,3.610,675000.0,1146,233,1976.0,9.0,4.0,2.0
Tilburgweg 45,Arnhem,€ 275.000,153 m²,90 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,5.980,275000.0,153,90,1984.0,5.0,4.0,3.0
St Gertrudislaan 11,Eindhoven,€ 595.000,238 m²,124 m²,1953,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,,Achtertuin en voortuin,1.820,595000.0,238,124,1953.0,6.0,4.0,2.0
Meerstraat 35,Hillegom,€ 389.000,109 m²,127 m²,1920,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum,Achtertuin,1.865,389000.0,109,127,1920.0,5.0,4.0,3.0
Onyx 7,'s-Gravenzande,€ 450.000,143 m²,132 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.830,450000.0,143,132,1978.0,5.0,3.0,3.0
Barend Kuisstraat 42,Nijkerk,€ 275.000,158 m²,98 m²,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.385,275000.0,158,98,1988.0,5.0,3.0,3.0
Aart van der Leeuwstraat 8,Gorinchem,€ 540.000,240 m²,154 m²,1994,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.670,540000.0,240,154,1994.0,5.0,4.0,3.0
Indusstraat 38,Spijkenisse,€ 525.000,192 m²,139 m²,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,1.055,525000.0,192,139,1987.0,5.0,3.0,3.0
Baardmosstraat 3,Purmerend,€ 389.000,126 m²,116 m²,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,5.715,389000.0,126,116,1985.0,4.0,3.0,3.0
Lankforst 4205,Nijmegen,€ 275.000,165 m²,132 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040,275000.0,165,132,1968.0,5.0,4.0,3.0
Jadeplantsoen 17,Almere,€ 325.000,144 m²,80 m²,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.345,325000.0,144,80,1996.0,4.0,3.0,2.0
Lindestraat 10,St. Willebrord,€ 825.000,1.427 m²,304 m²,2012,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, beschutte ligging en vrij uitzicht",Tuin rondom,8.960,825000.0,1427,304,2012.0,8.0,4.0,2.0
Prinsenstraat 7,Rijssen,€ 359.000,283 m²,139 m²,1952,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.285,359000.0,283,139,1952.0,6.0,4.0,3.0
Hoenderhof 4,Delfzijl,€ 165.000,153 m²,95 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,,Achtertuin en voortuin,1.165,165000.0,153,95,1981.0,4.0,3.0,2.0
De Nachtegaal 22 G,Surhuisterveen,€ 375.000,6.167 m²,128 m²,2022,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A+++,"Aan rustige weg, beschutte ligging, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",5.580,375000.0,6167,128,2022.0,4.0,2.0,2.0
Eline Verelaan 17,Oosterhout (NB),€ 450.000,236 m²,142 m²,1999,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,,Achtertuin en voortuin,2.670,450000.0,236,142,1999.0,5.0,4.0,3.0
Watermunt 86,Tegelen,€ 615.000,178 m²,191 m²,2001,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,A,"Aan water, in woonwijk en vrij uitzicht",Patio/atrium en voortuin,1.250,615000.0,178,191,2001.0,6.0,5.0,3.0
Napoleonshoed 41,Oosterhout (NB),€ 420.000,134 m²,118 m²,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.415,420000.0,134,118,2018.0,4.0,2.0,3.0
Bovendonksestraat 47,Hoeven,€ 425.000,305 m²,116 m²,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,"Achtertuin, voortuin en zijtuin",4.765,425000.0,305,116,1967.0,4.0,3.0,2.0
Kleine Hassel 6,Lage Mierde,€ 300.000,129 m²,90 m²,2005,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,1.395,300000.0,129,90,2005.0,4.0,3.0,3.0
Rosmolen 100,Alphen aan den Rijn,€ 650.000,233 m²,244 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,10 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,2.220,650000.0,233,244,1989.0,10.0,4.0,3.0
Eisenhowerstraat 1,Oss,€ 289.000,226 m²,99 m²,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin en voortuin,555,289000.0,226,99,1960.0,6.0,4.0,3.0
C.M. van Reesstraat 8,Sliedrecht,€ 299.000,119 m²,94 m²,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,G,In woonwijk,Achtertuin en zijtuin,2.040,299000.0,119,94,1925.0,5.0,4.0,2.0
Rietmeent 75,Almere,€ 385.000,127 m²,123 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.245,385000.0,127,123,1980.0,5.0,4.0,3.0
't Muurke 2,Wanroij,€ 425.000,1.860 m²,125 m²,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met overig en pannen,7 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,G,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Achtertuin en tuin rondom,2.330,425000.0,1860,125,1965.0,7.0,4.0,2.0
Osingastate 15,Leeuwarden,€ 267.500,140 m²,119 m²,1979,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin,4.055,267500.0,140,119,1979.0,6.0,5.0,2.0
Kamp 13 33,Lelystad,€ 315.000,200 m²,110 m²,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",1.915,315000.0,200,110,1981.0,5.0,4.0,3.0
Meester A Datemalaan 8,Kesteren,€ 545.000,258 m²,117 m²,2020,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.225,545000.0,258,117,2020.0,5.0,3.0,3.0
Prins Mauritslaan 156 E,Den Haag,€ 945.000,228 m²,171 m²,1998,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.775,945000.0,228,171,1998.0,5.0,3.0,3.0
Bromhaar 11,Nieuw Heeten,€ 325.000,268 m²,122 m²,1976,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin,710,325000.0,268,122,1976.0,5.0,4.0,2.0
Waterhoefweg 13,Oisterwijk,€ 462.500,414 m²,139 m²,1970,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en zijtuin,€ 3.802,462500.0,414,139,1970.0,6.0,4.0,3.0
Prinsenlaan 32,Emmen,€ 425.000,1.037 m²,152 m²,1949,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,In centrum,"Achtertuin, voortuin en zijtuin",1.475,425000.0,1037,152,1949.0,7.0,5.0,3.0
Heerstraat 32,Maasbommel,€ 395.000,1.275 m²,135 m²,1926,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer,2 woonlagen,C,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom,605,395000.0,1275,135,1926.0,8.0,4.0,2.0
Bolderik 21,Venray,€ 249.000,178 m²,118 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,1.700,249000.0,178,118,1981.0,5.0,3.0,3.0
Saltholm 6,Zaandam,€ 599.000,234 m²,121 m²,1995,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,In woonwijk,"Patio/atrium, voortuin en zonneterras",1.310,599000.0,234,121,1995.0,4.0,3.0,2.0
Hanendorperweg 25,Emst,€ 425.000,597 m²,92 m²,1952,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,Aan rustige weg en in centrum,"Achtertuin, voortuin, zijtuin en zonneterras",1.400,425000.0,597,92,1952.0,6.0,4.0,3.0
Dr. Ramaerlaan 26,Castricum,€ 399.000,219 m²,72 m²,1915,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,Niet verplicht,In bosrijke omgeving en in woonwijk,"Achtertuin, voortuin en zijtuin",2.060,399000.0,219,72,1915.0,3.0,2.0,2.0
Middenweg 71 C,Middenbeemster,€ 979.000,1.754 m²,284 m²,1988,Bestaande bouw,"Eengezinswoning, geschakelde woning",Samengesteld dak,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,A,"Aan rustige weg, aan water, beschutte ligging, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",4.265,979000.0,1754,284,1988.0,7.0,5.0,2.0
Zandhovenstraat 4,Breda,€ 325.000,179 m²,127 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Aan water en in woonwijk,Achtertuin en voortuin,4.260,325000.0,179,127,1968.0,6.0,4.0,3.0
Rivierdijk 655,Sliedrecht,€ 1.250.000,830 m²,316 m²,1890,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,E,Aan rustige weg,Achtertuin en voortuin,445,1250000.0,830,316,1890.0,6.0,3.0,3.0
Weerdingerweg 27,Valthe,€ 479.000,3.845 m²,180 m²,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,C,In bosrijke omgeving en vrij uitzicht,Tuin rondom,,479000.0,3845,180,1925.0,6.0,5.0,2.0
Wilhelminastraat 15,Meteren,€ 375.000,171 m²,84 m²,1920,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,3 kamers (2 slaapkamers),1 badkamer,2 woonlagen,G,Aan rustige weg,Achtertuin en zijtuin,845,375000.0,171,84,1920.0,3.0,2.0,2.0
Strammerboogh 19,Akersloot,€ 275.000,152 m²,76 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,3.410,275000.0,152,76,1986.0,4.0,3.0,2.0
Zwarteweg 15,Leusden,€ 845.000,570 m²,154 m²,1966,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",1.235,845000.0,570,154,1966.0,7.0,5.0,3.0
Roer 9,Deurne,€ 315.000,139 m²,178 m²,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.055,315000.0,139,178,,6.0,3.0,2.0
Frans Halslaan 13,Akersloot,€ 350.000,145 m²,118 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.410,350000.0,145,118,1968.0,6.0,5.0,3.0
Hondstong 8,Heemskerk,€ 750.000,364 m²,128 m²,1989,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.525,750000.0,364,128,1989.0,3.0,2.0,1.0
Rijksweg 31,Nuland,€ 739.000,1.127 m²,163 m²,1962,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen en een kelder,C,,Tuin rondom,3.495,739000.0,1127,163,1962.0,5.0,4.0,3.0
Drieseweg 6,Putten,€ 550.000,345 m²,137 m²,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin,6.280,550000.0,345,137,1934.0,6.0,4.0,2.0
