Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2,Price_Clean,Lot_Size,Living_Space,Build_Year,Total_Rooms,Bedrooms,Number_of_Floors
Wijkhovepad 14,Putten,€ 550.000,223 m²,153 m²,2006,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk en vrij uitzicht,"Achtertuin, voortuin en zijtuin",4.240,550000.0,223,153,2006.0,4.0,3.0,3.0
Jufferenstraat 10,Elburg,€ 575.000,120 m²,215 m²,1900,Bestaande bouw,"Herenhuis, verspringend (split-level woning)",Schilddak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen en een zolder,Niet verplicht,In centrum,Voortuin,935,575000.0,120,215,1900.0,8.0,4.0,4.0
Kloosteresweg 30,Albergen,€ 889.000,3.501 m²,275 m²,1993,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,12 kamers (6 slaapkamers),3 badkamers en 1 apart toilet,3 woonlagen en een kelder,A,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, tuin rondom en voortuin",2.040,889000.0,3501,275,1993.0,12.0,6.0,3.0
Rengelinkstraat 53,Almelo,€ 299.000,283 m²,130 m²,1953,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.895,299000.0,283,130,1953.0,6.0,4.0,3.0
Martinusweg 13,Twello,€ 895.000,1.249 m²,264 m²,1959,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,9 kamers (6 slaapkamers),3 badkamers en 1 apart toilet,"2 woonlagen, een vliering en een kelder",D,Aan rustige weg,"Achtertuin, voortuin en zijtuin",5.360,895000.0,1249,264,1959.0,9.0,6.0,2.0
Staverdenseweg 83,Elspeet,€ 569.000,475 m²,132 m²,1969,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",D,"In bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.995,569000.0,475,132,1969.0,5.0,4.0,2.0
Berkenlaan 1,Epe,€ 1.450.000,39.270 m²,138 m²,1995,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,C,"Aan rustige weg, buiten bebouwde kom en in bosrijke omgeving",Tuin rondom,630,1450000.0,39270,138,1995.0,4.0,2.0,1.0
Traandijk 45,Klarenbeek (Gem. Apeldoorn),€ 875.000,8.000 m²,162 m²,1912,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,G,,Tuin rondom,855,875000.0,8000,162,1912.0,5.0,4.0,1.0
Uiterweg 42,Aalsmeer,€ 1.250.000,625 m²,190 m²,1963,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,E,In centrum,Tuin rondom,875,1250000.0,625,190,1963.0,6.0,5.0,2.0
Erosiekreek 5,Spijkenisse,€ 300.000,143 m²,111 m²,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.875,300000.0,143,111,1982.0,4.0,3.0,3.0
